CUSTOMER_ID,RENEWED,TOTAL_SESSIONS,GROSS_SESSION_LENGTH,ACTIVE_DAYS,ACTIVE_QUARTERS,AVG_SESSIONS_PER_QUARTER,AVG_SESSION_LENGTH_PER_DAY,AGE,EDUCATION,INCOME_LEVEL,DEVICE_TYPE,TECH_COMFORT_SCORE
240528,1,11,497,1,1,11.000000,497.000000,36,Graduate,High,Multi-device,5
414633,1,0,0,0,0,0.000000,0.000000,37,Post-Graduate,Medium,Desktop-only,3
370502,1,6,146,2,2,3.000000,73.000000,33,Graduate,Medium,Multi-device,4
221106,1,0,0,0,0,0.000000,0.000000,39,Graduate,High,Multi-device,5
460952,0,0,0,0,0,0.000000,0.000000,43,Post-Graduate,Medium,Desktop-only,1
8837,1,13,503,1,1,13.000000,503.000000,44,Graduate,Medium,Multi-device,4
413828,1,0,0,0,0,0.000000,0.000000,28,Post-Graduate,Medium,Desktop-only,3
267158,1,0,0,0,0,0.000000,0.000000,32,Post-Graduate,Medium,Desktop-only,3
396330,1,37,969,1,1,37.000000,969.000000,28,Graduate,High,Multi-device,4
36489,1,0,0,0,0,0.000000,0.000000,21,Post-Graduate,Medium,Multi-device,4
110595,1,0,0,0,0,0.000000,0.000000,46,Graduate,Medium,Multi-device,4
288964,1,59,1935,2,1,59.000000,967.500000,23,Post-Graduate,High,Multi-device,4
15088,1,0,0,0,0,0.000000,0.000000,20,Graduate,High,Multi-device,4
313613,0,0,0,0,0,0.000000,0.000000,21,Graduate,Medium,Multi-device,4
255312,1,0,0,0,0,0.000000,0.000000,27,Graduate,High,Multi-device,5
384330,1,0,0,0,0,0.000000,0.000000,20,Post-Graduate,Medium,Desktop-only,3
360504,0,1,19,1,1,1.000000,19.000000,43,Other,Very High,Desktop-only,2
83099,1,0,0,0,0,0.000000,0.000000,45,Graduate,High,Multi-device,5
116498,1,0,0,0,0,0.000000,0.000000,41,Post-Graduate,Medium,Desktop-only,3
157644,1,0,0,0,0,0.000000,0.000000,25,Graduate,High,Multi-device,5
169231,1,26,1055,1,1,26.000000,1055.000000,45,Post-Graduate,Medium,Desktop-only,2
222822,1,0,0,0,0,0.000000,0.000000,40,Post-Graduate,Medium,Mobile-only,3
268424,1,0,0,0,0,0.000000,0.000000,20,Other,Very High,Desktop-only,2
279886,1,1,3,1,1,1.000000,3.000000,38,Graduate,High,Multi-device,1
397121,1,0,0,0,0,0.000000,0.000000,26,Graduate,High,Multi-device,5
430777,1,0,0,0,0,0.000000,0.000000,50,Graduate,High,Multi-device,5
66083,1,0,0,0,0,0.000000,0.000000,31,Graduate,Medium,Multi-device,5
230014,1,0,0,0,0,0.000000,0.000000,39,Graduate,High,Multi-device,3
408968,1,0,0,0,0,0.000000,0.000000,44,Post-Graduate,Low,Desktop-only,3
421179,0,0,0,0,0,0.000000,0.000000,28,Other,Very High,Multi-device,2
187408,1,0,0,0,0,0.000000,0.000000,30,Post-Graduate,Medium,Desktop-only,3
186799,1,0,0,0,0,0.000000,0.000000,37,Graduate,High,Multi-device,5
433459,0,0,0,0,0,0.000000,0.000000,24,High School,Low,Mobile-only,1
79759,1,0,0,0,0,0.000000,0.000000,45,Post-Graduate,Medium,Multi-device,5
114587,1,11,323,1,1,11.000000,323.000000,36,Post-Graduate,Medium,Multi-device,3
338305,1,0,0,0,0,0.000000,0.000000,46,Post-Graduate,High,Multi-device,4
353478,1,0,0,0,0,0.000000,0.000000,49,Graduate,Very High,Mobile-only,2
431735,1,0,0,0,0,0.000000,0.000000,26,Other,Very High,Mobile-only,2
4247,1,0,0,0,0,0.000000,0.000000,34,Graduate,High,Multi-device,3
91890,1,7,102,1,1,7.000000,102.000000,34,Graduate,High,Multi-device,5
207129,1,0,0,0,0,0.000000,0.000000,32,Graduate,High,Multi-device,2
214330,1,25,785,2,1,25.000000,392.500000,36,Graduate,High,Multi-device,4
328404,1,0,0,0,0,0.000000,0.000000,34,Graduate,High,Multi-device,5
336161,1,0,0,0,0,0.000000,0.000000,26,Other,Very High,Mobile-only,2
326138,1,0,0,0,0,0.000000,0.000000,37,Graduate,High,Mobile-only,4
71765,0,14,358,1,1,14.000000,358.000000,29,High School,Low,Mobile-only,1
160905,1,0,0,0,0,0.000000,0.000000,35,Graduate,Medium,Mobile-only,4
351987,1,27,1073,2,2,13.500000,536.500000,29,Graduate,High,Multi-device,5
427471,1,0,0,0,0,0.000000,0.000000,39,Graduate,High,Multi-device,3
49010,1,0,0,0,0,0.000000,0.000000,21,Post-Graduate,Medium,Desktop-only,3
3277,1,0,0,0,0,0.000000,0.000000,36,Post-Graduate,Medium,Multi-device,3
48187,1,1,12,1,1,1.000000,12.000000,31,Post-Graduate,Medium,Desktop-only,3
276997,1,0,0,0,0,0.000000,0.000000,36,Graduate,High,Mobile-only,5
375103,1,0,0,0,0,0.000000,0.000000,39,Post-Graduate,Medium,Desktop-only,3
162026,1,0,0,0,0,0.000000,0.000000,34,Graduate,Medium,Multi-device,4
183652,1,0,0,0,0,0.000000,0.000000,44,Post-Graduate,High,Multi-device,3
192880,1,4,51,1,1,4.000000,51.000000,32,Post-Graduate,Medium,Desktop-only,3
213414,1,0,0,0,0,0.000000,0.000000,30,Graduate,High,Multi-device,4
330742,1,0,0,0,0,0.000000,0.000000,37,Graduate,High,Multi-device,4
108652,1,13,431,1,1,13.000000,431.000000,27,Graduate,High,Mobile-only,5
303657,0,0,0,0,0,0.000000,0.000000,49,High School,Low,Mobile-only,1
353038,1,0,0,0,0,0.000000,0.000000,29,Graduate,High,Multi-device,5
472227,1,0,0,0,0,0.000000,0.000000,31,Graduate,Medium,Multi-device,3
4245,1,0,0,0,0,0.000000,0.000000,38,Post-Graduate,Medium,Multi-device,3
32692,1,0,0,0,0,0.000000,0.000000,39,Post-Graduate,High,Desktop-only,2
102371,1,24,1147,1,1,24.000000,1147.000000,35,Graduate,Medium,Multi-device,4
128399,1,0,0,0,0,0.000000,0.000000,43,Post-Graduate,Medium,Desktop-only,3
16972,1,0,0,0,0,0.000000,0.000000,28,Graduate,High,Multi-device,4
184967,0,0,0,0,0,0.000000,0.000000,35,Post-Graduate,Medium,Desktop-only,3
412127,1,0,0,0,0,0.000000,0.000000,42,Post-Graduate,Medium,Desktop-only,3
244405,0,14,375,1,1,14.000000,375.000000,32,High School,Low,Desktop-only,1
326612,1,78,3729,2,1,78.000000,1864.500000,41,Other,Very High,Desktop-only,2
281909,1,2,24,1,1,2.000000,24.000000,44,Other,High,Mobile-only,2
140896,0,0,0,0,0,0.000000,0.000000,43,Other,Very High,Mobile-only,2
458538,1,8,212,1,1,8.000000,212.000000,36,High School,High,Mobile-only,1
223945,0,16,405,1,1,16.000000,405.000000,39,Post-Graduate,Medium,Desktop-only,3
118396,1,44,2549,1,1,44.000000,2549.000000,28,Post-Graduate,Medium,Multi-device,3
438036,1,0,0,0,0,0.000000,0.000000,41,Graduate,High,Multi-device,4
393953,1,34,1514,1,1,34.000000,1514.000000,44,Post-Graduate,High,Multi-device,3
411946,1,0,0,0,0,0.000000,0.000000,36,Graduate,High,Multi-device,5
36305,1,0,0,0,0,0.000000,0.000000,41,Post-Graduate,Medium,Desktop-only,3
494880,0,0,0,0,0,0.000000,0.000000,23,Post-Graduate,Medium,Desktop-only,3
68129,0,19,622,2,1,19.000000,311.000000,28,Other,Very High,Desktop-only,2
247547,1,0,0,0,0,0.000000,0.000000,31,Other,Very High,Desktop-only,3
304350,1,0,0,0,0,0.000000,0.000000,34,Other,Medium,Multi-device,4
349558,1,0,0,0,0,0.000000,0.000000,43,Graduate,Medium,Mobile-only,4
397248,1,16,606,1,1,16.000000,606.000000,37,Graduate,Medium,Multi-device,4
432164,1,0,0,0,0,0.000000,0.000000,41,Graduate,Medium,Multi-device,4
477324,1,0,0,0,0,0.000000,0.000000,41,Graduate,High,Multi-device,4
147496,1,0,0,0,0,0.000000,0.000000,40,Graduate,Very High,Mobile-only,4
156684,1,0,0,0,0,0.000000,0.000000,29,Graduate,High,Multi-device,5
196152,0,0,0,0,0,0.000000,0.000000,43,Other,Very High,Desktop-only,2
207623,1,0,0,0,0,0.000000,0.000000,33,Graduate,High,Multi-device,5
212058,0,1,4,1,1,1.000000,4.000000,34,Other,Very High,Mobile-only,2
306097,1,0,0,0,0,0.000000,0.000000,29,Post-Graduate,Low,Multi-device,2
349219,1,0,0,0,0,0.000000,0.000000,28,Graduate,High,Multi-device,5
221961,0,0,0,0,0,0.000000,0.000000,26,Other,Very High,Desktop-only,2
32067,1,0,0,0,0,0.000000,0.000000,40,Graduate,High,Multi-device,5
70727,1,0,0,0,0,0.000000,0.000000,37,Post-Graduate,High,Multi-device,3
161933,1,3,29,1,1,3.000000,29.000000,44,Other,Medium,Multi-device,3
337343,1,0,0,0,0,0.000000,0.000000,27,Post-Graduate,High,Mobile-only,2
439707,0,0,0,0,0,0.000000,0.000000,36,Post-Graduate,Medium,Mobile-only,3
144033,1,0,0,0,0,0.000000,0.000000,35,Other,Very High,Mobile-only,2
153892,1,0,0,0,0,0.000000,0.000000,37,Post-Graduate,Medium,Desktop-only,3
155506,1,0,0,0,0,0.000000,0.000000,29,Other,Very High,Desktop-only,2
168114,1,0,0,0,0,0.000000,0.000000,34,Graduate,Very High,Desktop-only,5
184701,1,0,0,0,0,0.000000,0.000000,27,Graduate,High,Desktop-only,5
233948,1,0,0,0,0,0.000000,0.000000,28,Graduate,Very High,Multi-device,5
275794,1,37,926,3,3,12.333333,308.666667,29,Post-Graduate,Medium,Multi-device,3
67455,1,62,2410,2,2,31.000000,1205.000000,39,Other,High,Multi-device,4
180698,1,0,0,0,0,0.000000,0.000000,24,Graduate,Low,Desktop-only,2
279244,1,0,0,0,0,0.000000,0.000000,37,Graduate,Low,Multi-device,4
289887,1,6,114,1,1,6.000000,114.000000,42,Graduate,High,Multi-device,5
456687,0,0,0,0,0,0.000000,0.000000,40,Post-Graduate,Medium,Desktop-only,3
51678,1,0,0,0,0,0.000000,0.000000,34,Other,Very High,Desktop-only,2
282564,1,13,299,1,1,13.000000,299.000000,29,Other,Medium,Desktop-only,2
260666,0,1,6,1,1,1.000000,6.000000,33,Other,Very High,Desktop-only,2
394601,1,0,0,0,0,0.000000,0.000000,48,Graduate,High,Multi-device,1
39920,0,3,38,2,2,1.500000,19.000000,46,High School,Low,Mobile-only,1
75283,1,0,0,0,0,0.000000,0.000000,23,Graduate,High,Multi-device,5
241138,1,0,0,0,0,0.000000,0.000000,30,Graduate,High,Multi-device,5
17466,1,0,0,0,0,0.000000,0.000000,45,Graduate,High,Mobile-only,5
274401,1,0,0,0,0,0.000000,0.000000,48,Other,Medium,Desktop-only,3
364783,1,0,0,0,0,0.000000,0.000000,39,Graduate,Medium,Desktop-only,3
442550,1,13,592,1,1,13.000000,592.000000,36,Graduate,High,Multi-device,4
477717,0,0,0,0,0,0.000000,0.000000,29,Graduate,Medium,Multi-device,4
84508,1,0,0,0,0,0.000000,0.000000,53,Post-Graduate,Medium,Multi-device,3
303864,1,0,0,0,0,0.000000,0.000000,28,Other,High,Multi-device,5
310429,1,0,0,0,0,0.000000,0.000000,25,Graduate,High,Mobile-only,4
327764,0,0,0,0,0,0.000000,0.000000,29,High School,Low,Mobile-only,4
390656,1,19,550,1,1,19.000000,550.000000,41,Graduate,Very High,Multi-device,3
395837,0,0,0,0,0,0.000000,0.000000,25,High School,Low,Mobile-only,3
307474,1,23,1015,1,1,23.000000,1015.000000,35,Post-Graduate,Medium,Desktop-only,3
431744,1,0,0,0,0,0.000000,0.000000,39,Post-Graduate,Medium,Multi-device,3
458531,1,0,0,0,0,0.000000,0.000000,39,Graduate,Medium,Desktop-only,3
456998,1,0,0,0,0,0.000000,0.000000,33,Graduate,High,Desktop-only,5
440702,1,0,0,0,0,0.000000,0.000000,22,Post-Graduate,Medium,Desktop-only,2
489681,1,21,1265,1,1,21.000000,1265.000000,43,Graduate,Low,Multi-device,5
11498,1,0,0,0,0,0.000000,0.000000,31,Graduate,High,Multi-device,4
30140,1,0,0,0,0,0.000000,0.000000,38,High School,Very High,Multi-device,2
52153,0,0,0,0,0,0.000000,0.000000,31,Post-Graduate,Medium,Desktop-only,4
166548,0,0,0,0,0,0.000000,0.000000,44,Post-Graduate,Medium,Desktop-only,3
305479,1,0,0,0,0,0.000000,0.000000,38,Graduate,Medium,Multi-device,4
392441,1,0,0,0,0,0.000000,0.000000,23,Graduate,Medium,Multi-device,4
28699,0,0,0,0,0,0.000000,0.000000,33,High School,Very High,Mobile-only,1
141928,1,5,62,2,1,5.000000,31.000000,26,Post-Graduate,High,Desktop-only,3
150736,1,0,0,0,0,0.000000,0.000000,46,Post-Graduate,Medium,Multi-device,3
320111,0,0,0,0,0,0.000000,0.000000,49,Post-Graduate,Medium,Desktop-only,3
223872,1,0,0,0,0,0.000000,0.000000,42,Post-Graduate,Medium,Desktop-only,4
186109,0,0,0,0,0,0.000000,0.000000,38,High School,Low,Desktop-only,1
190203,0,0,0,0,0,0.000000,0.000000,51,Graduate,Low,Mobile-only,5
207954,0,0,0,0,0,0.000000,0.000000,24,Post-Graduate,Medium,Desktop-only,3
136447,0,0,0,0,0,0.000000,0.000000,37,Graduate,Medium,Multi-device,4
164478,1,0,0,0,0,0.000000,0.000000,31,Post-Graduate,Medium,Mobile-only,2
177917,1,14,573,1,1,14.000000,573.000000,33,Graduate,Medium,Multi-device,4
157353,1,0,0,0,0,0.000000,0.000000,37,Post-Graduate,Medium,Desktop-only,3
14199,1,0,0,0,0,0.000000,0.000000,31,Post-Graduate,Medium,Desktop-only,3
80300,1,0,0,0,0,0.000000,0.000000,20,Other,Very High,Desktop-only,2
104739,0,3,28,1,1,3.000000,28.000000,22,Other,Very High,Desktop-only,1
121415,1,0,0,0,0,0.000000,0.000000,20,Post-Graduate,Medium,Desktop-only,2
381476,1,0,0,0,0,0.000000,0.000000,29,High School,Low,Mobile-only,1
478102,1,8,200,1,1,8.000000,200.000000,31,Graduate,High,Multi-device,5
20849,1,0,0,0,0,0.000000,0.000000,23,Graduate,High,Multi-device,5
100247,1,0,0,0,0,0.000000,0.000000,30,Post-Graduate,Medium,Desktop-only,2
149452,1,32,1224,1,1,32.000000,1224.000000,41,Graduate,High,Multi-device,4
253018,1,0,0,0,0,0.000000,0.000000,28,High School,Very High,Mobile-only,2
26684,1,5,22,2,1,5.000000,11.000000,21,Graduate,High,Multi-device,5
103561,1,0,0,0,0,0.000000,0.000000,21,Other,Medium,Mobile-only,2
86813,1,0,0,0,0,0.000000,0.000000,44,Graduate,High,Desktop-only,4
147692,1,0,0,0,0,0.000000,0.000000,35,Post-Graduate,Medium,Multi-device,3
174241,1,0,0,0,0,0.000000,0.000000,31,Graduate,High,Multi-device,5
105796,1,1,15,1,1,1.000000,15.000000,25,Graduate,Medium,Multi-device,4
202341,1,0,0,0,0,0.000000,0.000000,45,Graduate,Very High,Mobile-only,4
237401,1,0,0,0,0,0.000000,0.000000,24,Graduate,High,Multi-device,5
459365,1,0,0,0,0,0.000000,0.000000,40,Graduate,High,Multi-device,5
458810,0,0,0,0,0,0.000000,0.000000,38,Post-Graduate,Medium,Desktop-only,3
461808,0,9,160,1,1,9.000000,160.000000,31,Post-Graduate,Medium,Desktop-only,2
141352,0,0,0,0,0,0.000000,0.000000,37,High School,Low,Mobile-only,1
302123,1,0,0,0,0,0.000000,0.000000,39,Graduate,High,Multi-device,5
87742,1,0,0,0,0,0.000000,0.000000,32,Graduate,High,Multi-device,5
140477,1,0,0,0,0,0.000000,0.000000,32,Graduate,High,Multi-device,5
195187,0,0,0,0,0,0.000000,0.000000,44,High School,Low,Desktop-only,1
250461,0,23,704,1,1,23.000000,704.000000,38,Post-Graduate,Low,Mobile-only,1
257359,1,0,0,0,0,0.000000,0.000000,33,Graduate,Very High,Multi-device,5
342762,0,0,0,0,0,0.000000,0.000000,37,Post-Graduate,Medium,Desktop-only,3
387412,1,0,0,0,0,0.000000,0.000000,31,Other,Very High,Desktop-only,2
236257,0,0,0,0,0,0.000000,0.000000,25,High School,Very High,Mobile-only,1
23859,1,0,0,0,0,0.000000,0.000000,30,Graduate,High,Mobile-only,4
52260,1,5,64,1,1,5.000000,64.000000,49,Graduate,Medium,Multi-device,4
116562,1,0,0,0,0,0.000000,0.000000,43,Post-Graduate,Medium,Desktop-only,3
252609,1,0,0,0,0,0.000000,0.000000,37,Post-Graduate,Medium,Multi-device,3
334399,1,0,0,0,0,0.000000,0.000000,32,Post-Graduate,Medium,Desktop-only,5
263616,0,0,0,0,0,0.000000,0.000000,48,Other,High,Mobile-only,2
472758,1,26,1024,1,1,26.000000,1024.000000,48,Graduate,High,Multi-device,4
495293,1,0,0,0,0,0.000000,0.000000,44,Other,Very High,Mobile-only,2
232664,1,0,0,0,0,0.000000,0.000000,25,Graduate,High,Multi-device,5
271664,1,0,0,0,0,0.000000,0.000000,42,Graduate,Medium,Multi-device,4
330698,1,0,0,0,0,0.000000,0.000000,39,Graduate,High,Multi-device,5
396791,1,0,0,0,0,0.000000,0.000000,22,Graduate,Medium,Multi-device,5
41500,0,12,456,1,1,12.000000,456.000000,34,Graduate,Low,Mobile-only,4
202073,1,0,0,0,0,0.000000,0.000000,22,Post-Graduate,Medium,Multi-device,3
275871,1,0,0,0,0,0.000000,0.000000,35,Other,Very High,Mobile-only,2
290496,1,0,0,0,0,0.000000,0.000000,21,Graduate,High,Multi-device,5
373885,1,0,0,0,0,0.000000,0.000000,31,Post-Graduate,Medium,Multi-device,3
456098,1,0,0,0,0,0.000000,0.000000,47,Graduate,Medium,Multi-device,4
51316,1,0,0,0,0,0.000000,0.000000,32,Other,Very High,Multi-device,2
146772,1,0,0,0,0,0.000000,0.000000,24,Graduate,High,Multi-device,5
153313,1,0,0,0,0,0.000000,0.000000,38,Post-Graduate,High,Desktop-only,3
338599,0,0,0,0,0,0.000000,0.000000,26,Graduate,Medium,Multi-device,4
255524,1,0,0,0,0,0.000000,0.000000,21,Other,High,Multi-device,5
86888,1,0,0,0,0,0.000000,0.000000,31,Post-Graduate,Medium,Mobile-only,3
199632,1,0,0,0,0,0.000000,0.000000,34,High School,High,Multi-device,5
313280,1,0,0,0,0,0.000000,0.000000,48,Post-Graduate,Low,Desktop-only,3
264132,0,0,0,0,0,0.000000,0.000000,38,Graduate,Very High,Multi-device,3
474040,1,0,0,0,0,0.000000,0.000000,26,Post-Graduate,Medium,Multi-device,5
134592,0,0,0,0,0,0.000000,0.000000,48,Post-Graduate,Medium,Desktop-only,3
165712,1,27,1308,1,1,27.000000,1308.000000,20,Graduate,High,Multi-device,4
448975,0,0,0,0,0,0.000000,0.000000,48,Other,Very High,Desktop-only,2
103144,1,0,0,0,0,0.000000,0.000000,27,Graduate,Very High,Desktop-only,2
331127,0,0,0,0,0,0.000000,0.000000,39,Other,Very High,Mobile-only,2
379169,1,0,0,0,0,0.000000,0.000000,25,High School,High,Multi-device,4
468116,1,0,0,0,0,0.000000,0.000000,36,Graduate,Medium,Multi-device,5
442927,1,0,0,0,0,0.000000,0.000000,35,Graduate,High,Multi-device,5
492958,1,0,0,0,0,0.000000,0.000000,42,Graduate,High,Multi-device,4
165358,1,0,0,0,0,0.000000,0.000000,27,Graduate,High,Multi-device,4
300276,1,0,0,0,0,0.000000,0.000000,31,Post-Graduate,Medium,Desktop-only,3
457397,1,0,0,0,0,0.000000,0.000000,26,Other,Medium,Desktop-only,3
207493,1,0,0,0,0,0.000000,0.000000,20,Other,Very High,Mobile-only,2
329799,0,12,302,2,1,12.000000,151.000000,37,Post-Graduate,Medium,Desktop-only,3
366282,1,0,0,0,0,0.000000,0.000000,35,Graduate,Medium,Multi-device,3
406250,1,0,0,0,0,0.000000,0.000000,44,Graduate,High,Desktop-only,4
408355,1,0,0,0,0,0.000000,0.000000,33,Graduate,Medium,Mobile-only,4
462263,1,0,0,0,0,0.000000,0.000000,36,Other,Low,Multi-device,5
52067,0,1,8,1,1,1.000000,8.000000,25,Other,Very High,Desktop-only,5
71195,1,0,0,0,0,0.000000,0.000000,29,Graduate,High,Multi-device,4
145067,1,79,4104,2,1,79.000000,2052.000000,39,Post-Graduate,Medium,Multi-device,3
191394,1,0,0,0,0,0.000000,0.000000,27,Graduate,Medium,Multi-device,3
500466,1,0,0,0,0,0.000000,0.000000,41,Graduate,High,Multi-device,5
491341,1,0,0,0,0,0.000000,0.000000,50,Graduate,Medium,Multi-device,4
146348,1,0,0,0,0,0.000000,0.000000,38,Other,Very High,Mobile-only,2
297540,1,0,0,0,0,0.000000,0.000000,24,Graduate,Medium,Multi-device,5
370498,1,59,2595,2,1,59.000000,1297.500000,34,Other,Very High,Desktop-only,5
390605,1,0,0,0,0,0.000000,0.000000,46,Post-Graduate,Medium,Desktop-only,3
482269,1,0,0,0,0,0.000000,0.000000,30,Post-Graduate,Medium,Desktop-only,3
467069,1,0,0,0,0,0.000000,0.000000,43,Graduate,High,Multi-device,5
188666,1,0,0,0,0,0.000000,0.000000,25,Graduate,High,Multi-device,5
384532,1,0,0,0,0,0.000000,0.000000,36,Other,Very High,Multi-device,2
487520,1,0,0,0,0,0.000000,0.000000,44,Graduate,High,Multi-device,3
21102,1,0,0,0,0,0.000000,0.000000,36,Graduate,High,Multi-device,5
241102,1,0,0,0,0,0.000000,0.000000,46,Graduate,High,Multi-device,4
343407,1,0,0,0,0,0.000000,0.000000,44,Graduate,High,Multi-device,5
436968,1,0,0,0,0,0.000000,0.000000,34,Graduate,High,Multi-device,5
19530,1,35,1612,1,1,35.000000,1612.000000,42,Post-Graduate,Medium,Multi-device,3
38350,1,0,0,0,0,0.000000,0.000000,46,Graduate,High,Multi-device,5
61484,1,6,233,1,1,6.000000,233.000000,37,Post-Graduate,Medium,Desktop-only,3
223347,1,0,0,0,0,0.000000,0.000000,34,High School,Low,Mobile-only,1
260426,1,0,0,0,0,0.000000,0.000000,33,Graduate,High,Multi-device,5
79208,1,33,1246,1,1,33.000000,1246.000000,37,Post-Graduate,Medium,Multi-device,2
223270,1,7,170,1,1,7.000000,170.000000,23,Other,Very High,Mobile-only,2
149274,1,0,0,0,0,0.000000,0.000000,45,Other,Very High,Mobile-only,2
66502,1,0,0,0,0,0.000000,0.000000,36,Graduate,High,Multi-device,5
